id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
12,12,Fakultas Ilmu Kesehatan,FIKES,12,Soka,Ixora chinensis Lam.,Rubiaceae,Akar; batang; kulit batang; daun; bunga.,"Akar dibuat dekokta untuk keluhan lambung, masa setelah persalinan, dan keluhan bronkial; bunga dibuat dekokta atau infusa segar; akar, batang, daun, bunga, dan kulit batang digunakan sebagai ramuan tradisional. Daun dan kulit batang dikeringkan, diserbukkan, lalu dimaserasi dengan metanol; daun juga diekstraksi dengan metanol atau etanol untuk uji antibakteri dan antioksidan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,8
13,4,Fakultas Ilmu Kesehatan,FIKES,13,Helikonia,Heliconia psittacorum L.f.,Heliconiaceae,Daun,"Daun dimaserasi dengan metanol; ekstrak kemudian dipartisi menjadi fraksi kloroform dan fraksi air untuk pengujian antiproliferatif, sitotoksik, dan antioksidan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Onkologi (Kanker),1
14,13,Fakultas Ilmu Kesehatan,FIKES,14,Cemara kipas,Platycladus orientalis (L.) Franco,Cupressaceae,Daun; ranting muda; biji.,"Daun dan ranting digunakan sebagai dekokta, serbuk, atau bahan yang dikarbonisasi dalam penggunaan tradisional; penelitian menggunakan ekstrak air, etanol/metanol, minyak atsiri, fraksi flavonoid, serta isolasi senyawa. Biji digunakan dalam ramuan tradisional.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kardiovaskular; Gangguan Sistem Saraf; Gangguan Psikiatri; Gangguan Ginekologi dan Obstetri; Gangguan Urologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),9
15,14,Fakultas Ilmu Kesehatan,FIKES,15,Kembang sepatu gantung,Hibiscus schizopetalus (Mast.) Hook.f.,Malvaceae,Daun.,"Ekstrak daun diprofilkan menggunakan UPLC-ESI-MS/MS, kemudian ekstrak H. schizopetalus diformulasikan sebagai hidrogel dan nanogel 1% b/v dan digunakan secara topikal pada model eksisi luka tikus.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kulit (Dermatologi),1
16,15,Fakultas Ilmu Kesehatan,FIKES,16,Bunga kana,Canna × hybrida Rodigas,Cannaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
17,16,Fakultas Ilmu Kesehatan,FIKES,17,Cemara laut,Casuarina equisetifolia L.,Casuarinaceae,Akar; kulit batang; ranting hijau/branchlets dan daun sisik; bunga/perbungaan; buah atau runjung; biji.,"Bagian tanaman digunakan sebagai rebusan/dekokta dalam laporan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, metanol 80%, serta fraksi pelarut; ekstrak buah metanol diuji antiartritis, ekstrak bagian vegetatif diuji antimikroba/sitotoksik, ekstrak diuji nefroprotektif secara oral, dan ekstrak etanol perbungaan diuji toksisitas akut.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
18,17,Fakultas Ilmu Kesehatan,FIKES,18,Bromelia raksasa,Alcantarea imperialis (Carrière) Harms,Bromeliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
19,18,Fakultas Ilmu Kesehatan,FIKES,19,Gandarusa,Justicia gendarussa Burm.f.,Acanthaceae,Akar; batang dan batang muda; daun; bagian aerial.,"Daun, batang muda, akar, atau bagian aerial digunakan sebagai dekokta, infusa, perasan/juice, pasta, atau sediaan tradisional; penelitian menggunakan ekstrak air, etanol, metanol, kloroform, fraksi, dan senyawa terisolasi. Ekstrak atau senyawa diberikan oral maupun diuji in vitro sesuai desain penelitian.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
20,19,Fakultas Ilmu Kesehatan,FIKES,20,Bayam merah hias,Alternanthera brasiliana (L.) Kuntze,Amaranthaceae,Daun; batang; bagian aerial.,"Daun segar digunakan sebagai ekstrak air; daun, batang, dan bagian aerial dibuat sebagai infusa/dekokta atau ekstrak metanol, etanol, dan hidroalkohol. Ekstrak hidroalkohol diformulasikan dalam gel karbopol 20% untuk aplikasi topikal; ekstrak air-etanol daun diberikan secara oral pada uji nefroprotektif dan diuretik.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Ginekologi dan Obstetri; Gangguan Urologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
21,20,Fakultas Ilmu Kesehatan,FIKES,21,Sambang dara,Phyllanthus nivosus W.Bull,Phyllanthaceae,Bagian aerial.,"Bagian aerial dimaserasi menggunakan metanol dan diklorometana; ekstrak digunakan dalam uji in vitro/ex vivo dan diberikan oral pada model diabetes tikus. Studi lain menggunakan ekstrak metanol dan campuran poliherbal, tetapi bagian tanaman tidak dinyatakan jelas pada metadata yang dapat diverifikasi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin,4
22,21,Fakultas Ilmu Kesehatan,FIKES,22,Buas-buas,Premna serratifolia L.,Lamiaceae,Akar dan kulit akar; batang/kayu dan kulit batang; daun dan pucuk muda; bunga; buah.,"Daun muda dimasak sebagai sayuran; daun dibuat infusa, teh herbal, atau dekokta dan digunakan dalam formulasi herbal. Akar, kulit akar, kayu, daun, bunga, dan buah diteliti sebagai ekstrak air, etanol, metanol, hidroalkohol, etil asetat, dan fraksi n-heksana; sediaan pasta atau balur topikal juga dilaporkan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),11
23,106,Fakultas Ilmu Kesehatan,FIKES,23,Bunga kertas,Bougainvillea × buttiana Holttum & Standl.,Nyctaginaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
24,22,Fakultas Ilmu Kesehatan,FIKES,24,Dolar rambat,Ficus pumila L.,Moraceae,Akar; batang; daun; bunga/perbungaan dan reseptakel; buah semu; biji.,"Buah semu dimanfaatkan sebagai pangan dan bahan jeli/minuman. Akar, batang, daun, perbungaan, reseptakel, buah, dan biji dibuat sebagai rebusan atau ekstrak air, etanol 70–95%, metanol, dan fraksi pelarut; senyawa diisolasi dengan kromatografi untuk pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),7
25,266,Fakultas Ilmu Kesehatan,FIKES,25,Palem kuning,Chrysalidocarpus lutescens H.Wendl.,Arecaceae,Daun,Daun diekstraksi dengan etanol/alkohol dan dipisahkan secara kromatografi; ekstrak daun juga digunakan dalam sintesis hijau nanopartikel perak untuk uji antibakteri.,Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Penyakit Infeksi,2
26,23,Fakultas Ilmu Kesehatan,FIKES,26,Kamboja merah,Plumeria rubra L.,Apocynaceae,Akar; kulit batang dan batang; daun; bunga; buah dan biji; getah/lateks.,"Bagian tanaman digunakan sebagai dekokta atau infusa, serbuk, tumbukan/pasta, dan aplikasi getah secara topikal dalam laporan etnomedis. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk uji farmakologi dan toksikologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
27,24,Fakultas Ilmu Kesehatan,FIKES,27,Palem waregu,Rhapis excelsa (Thunb.) A.Henry,Arecaceae,Daun.,Daun dikeringkan dan diekstraksi secara berurutan menggunakan beberapa pelarut dengan polaritas berbeda. Ekstrak kloroform diuji secara in vitro terhadap virus Chikungunya; ekstrak daun juga dipisahkan untuk analisis polifenol dan pengujian antimikroba.,Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
28,25,Fakultas Ilmu Kesehatan,FIKES,28,Anggur muscadine,Vitis rotundifolia Michx.,Vitaceae,Buah/buah beri; kulit buah; biji; pomace (kulit dan biji sisa pengolahan); jus dan produk olahan buah.,"Buah dikonsumsi segar atau diolah menjadi jus, jeli, dan produk pangan. Kulit, biji, dan pomace diekstraksi dengan pelarut hidroalkohol atau air untuk memperoleh antosianin dan polifenol; ekstrak biji digunakan sebagai suplemen pada penelitian manusia.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Endokrin; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
29,26,Fakultas Ilmu Kesehatan,FIKES,29,Dragon tree,Dracaena draco (L.) L.,Asparagaceae,Resin merah atau “dragon’s blood” yang keluar dari batang/trunk.,"Resin dari batang diekstraksi menggunakan aseton, kemudian dipisahkan dan dikarakterisasi secara fitokimia. Ekstrak dan senyawa resin diuji terhadap pembentukan biofilm Staphylococcus secara in vitro; penggunaan tradisional resin juga dirangkum dalam review.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kulit (Dermatologi); Penyakit Infeksi,2
30,27,Fakultas Ilmu Kesehatan,FIKES,30,Lidah mertua,Dracaena trifasciata (Prain) Mabb.,Asparagaceae,Daun; rimpang; akar.,"Daun, rimpang, dan akar digunakan sebagai perasan, rebusan/dekokta, infusa, atau pasta/balur dalam laporan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, n-heksana, kloroform, dan fraksi pelarut yang diberikan secara oral atau topikal maupun diuji in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,9
31,28,Fakultas Ilmu Kesehatan,FIKES,31,Bromelia,Neoregelia farinosa (Ule) L.B.Sm.,Bromeliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
32,29,Fakultas Ilmu Kesehatan,FIKES,32,Rumput paitan,Axonopus compressus (Sw.) P.Beauv.,Poaceae,Daun; seluruh bagian tanaman.,"Daun dimaserasi dengan metanol dan ekstraknya diberikan secara oral pada tikus diabetes. Seluruh tanaman dikeringkan, diserbukkan, lalu diekstraksi menggunakan Soxhlet secara berturut-turut dengan n-heksana, kloroform, dan metanol untuk skrining fitokimia dan uji antimikroba.",Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin; Penyakit Infeksi,2
33,30,Fakultas Ilmu Kesehatan,FIKES,33,Jambu biji,Psidium guajava L.,Myrtaceae,Akar; kulit batang dan batang; daun; bunga; buah dan kulit buah; biji.,"Buah dikonsumsi segar atau sebagai jus/pangan olahan. Daun, akar, dan kulit batang dibuat infusa atau dekokta; penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, minyak atsiri, fraksi, dan senyawa terisolasi untuk penggunaan oral, topikal, serta pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
34,31,Fakultas Ilmu Kesehatan,FIKES,34,Jeruk pahit,Citrus × aurantium L.,Rutaceae,Buah dan daging buah; sari/jus; kulit buah (flavedo dan albedo); bunga; daun; biji.,"Buah dikonsumsi segar atau diolah menjadi jus, marmalade, dan produk pangan. Kulit, bunga, dan daun dibuat infusa atau dekokta; minyak atsiri diperoleh melalui distilasi uap/hidrodistilasi. Penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, serta teknik ekstraksi modern dan fraksinasi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Psikiatri; Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),7
35,32,Fakultas Ilmu Kesehatan,FIKES,35,Jarak kepyar,Ricinus communis L.,Euphorbiaceae,Akar; batang dan kulit batang; daun; bunga; buah; biji; minyak biji.,"Akar, kulit batang, dan daun digunakan sebagai dekokta, perasan, pasta, atau ekstrak air, etanol, metanol, dan hidroalkohol. Minyak jarak diperoleh melalui pengepresan dan pemurnian biji. Biji utuh tidak digunakan langsung karena mengandung toksin berbahaya; penelitian memakai ekstrak, fraksi, minyak, atau senyawa terisolasi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
36,33,Fakultas Ilmu Kesehatan,FIKES,36,Katuk hias,Phyllanthus androgynus (L.) Chakrab. & N.P.Balakr.,Phyllanthaceae,Daun dan pucuk muda; batang muda; akar.,"Daun dan pucuk muda dimasak sebagai sayuran atau sup; penggunaan tradisional juga mencakup infusa/dekokta dan perasan. Penelitian menggunakan ekstrak air, etanol, metanol, dan fraksi/isolat. Konsumsi daun mentah dalam jumlah besar atau sebagai jus pekat memerlukan kehati-hatian.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pernapasan; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Penyakit Infeksi,5
37,34,Fakultas Ilmu Kesehatan,FIKES,37,Podokarpus,Podocarpus macrophyllus (Thunb.) Sweet,Podocarpaceae,Daun dan bagian aerial; batang dan kulit batang.,"Bagian aerial/daun dikeringkan dan dimaserasi dengan metanol, kemudian diprofilkan menggunakan GC–MS, HPLC, dan analisis metabolomik. Ekstrak difraksinasi dan senyawa diterpenoid diisolasi dengan kromatografi untuk pengujian antimikroba, antiproliferatif, dan antiinflamasi in vitro.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
38,35,Fakultas Ilmu Kesehatan,FIKES,38,Cemara norfolk,Araucaria columnaris (G.Forst.) Hook.,Araucariaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
39,36,Fakultas Ilmu Kesehatan,FIKES,39,Bisbul,Diospyros blancoi A.DC.,Ebenaceae,"Buah, terutama daging buah dan bahan buah utuh untuk ekstraksi.","Buah dikonsumsi sebagai pangan. Untuk penelitian, buah dimaserasi dengan metanol; ekstrak kemudian dipartisi menjadi fraksi petroleum eter, kloroform, dan karbon tetraklorida serta digunakan untuk isolasi stigmasterol, lupeol, dan asam betulinat.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin,3
40,37,Fakultas Ilmu Kesehatan,FIKES,40,Tin,Ficus carica L.,Moraceae,Akar; batang dan kulit batang; daun; tunas; buah semu/sikonium dan kulit buah; biji; getah/lateks.,"Buah dikonsumsi segar atau dikeringkan dan diolah sebagai pangan. Daun, akar, tunas, dan kulit batang dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, dan hidroalkohol. Lateks digunakan secara topikal dalam penggunaan tradisional; minyak biji dan fraksi/isolat juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Psikiatri; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
41,38,Fakultas Ilmu Kesehatan,FIKES,41,Tembelekan,Lantana canescens Kunth,Verbenaceae,"Bagian aerial, terutama daun, batang, dan bunga.","Bagian aerial dikeringkan dan digiling, kemudian diekstraksi menggunakan pelarut hidroetanol. Ekstrak dikarakterisasi secara kimia dan diberikan secara oral pada model tikus/mencit untuk menilai inflamasi, hiperalgesia, dan nosisepsi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Imunologi; Gangguan Reumatologi,3
42,39,Fakultas Ilmu Kesehatan,FIKES,42,Podokarpus,Podocarpus macrophyllus (Thunb.) Sweet,Podocarpaceae,Daun dan bagian aerial; batang dan kulit batang.,"Bagian aerial/daun dikeringkan dan dimaserasi dengan metanol, kemudian diprofilkan menggunakan GC–MS, HPLC, dan analisis metabolomik. Ekstrak difraksinasi dan senyawa diterpenoid diisolasi dengan kromatografi untuk pengujian antimikroba, antiproliferatif, dan antiinflamasi in vitro.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
43,40,Fakultas Ilmu Kesehatan,FIKES,43,Tabebuya kuning,Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,Bignoniaceae,Kulit batang bagian dalam dan kulit batang.,"Kulit batang digunakan sebagai infusa, maserasi beralkohol, atau bahan yang dikunyah dalam penggunaan tradisional. Penelitian menggunakan ekstrak hidroetanol kulit batang dan pemberian oral maupun pengujian in vitro untuk menilai efek inflamasi, kerusakan otot, dan perdarahan akibat bisa ular.",Tanaman Obat; Tanaman Estetik,2,Gangguan Imunologi; Gangguan Reumatologi; Gangguan Hematologi,3
44,256,Fakultas Ilmu Kesehatan,FIKES,44,Tembelekan,Lantana canescens Kunth,Verbenaceae,"Bagian aerial, terutama daun, batang, dan bunga.","Bagian aerial dikeringkan dan digiling, kemudian diekstraksi menggunakan pelarut hidroetanol. Ekstrak dikarakterisasi secara kimia dan diberikan secara oral pada model tikus/mencit untuk menilai inflamasi, hiperalgesia, dan nosisepsi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Saraf; Gangguan Imunologi; Gangguan Reumatologi,3
45,41,Fakultas Ilmu Kesehatan,FIKES,45,Cabai habanero/cabai cina,Capsicum chinense Jacq.,Solanaceae,Buah; perikarp/daging buah; plasenta; biji.,"Buah dikonsumsi segar, dimasak, dikeringkan, atau digiling sebagai bumbu dan pangan. Penelitian menggunakan ekstrak buah serta isolasi/kuantifikasi kapsaisin; ekstrak dan senyawa diuji terhadap α-glukosidase, α-amilase, kandungan fenolik/flavonoid, dan aktivitas antioksidan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin,1
46,42,Fakultas Ilmu Kesehatan,FIKES,46,Terong-terongan liar,Solanum erianthum D.Don,Solanaceae,Akar; batang; daun; buah.,"Akar, batang, daun, dan buah dikeringkan, diserbukkan, lalu diekstraksi bertahap menggunakan air, petroleum eter, kloroform, dan metanol. Ekstrak digunakan untuk skrining fitokimia, uji antioksidan, antibakteri, antijamur, dan uji analgesik pada hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Saraf; Penyakit Infeksi,2
47,43,Fakultas Ilmu Kesehatan,FIKES,47,Alpukat,Persea americana Mill.,Lauraceae,Akar; kulit batang dan batang; daun; bunga; buah dan kulit buah; biji.,"Buah dikonsumsi segar atau sebagai pangan olahan. Daun, akar, dan kulit batang digunakan sebagai infusa/dekokta; daun, biji, kulit buah, dan bagian lain diekstraksi dengan air, etanol, metanol, hidroalkohol, atau pelarut lain untuk uji farmakologi. Minyak buah/biji dan fraksi/isolat juga dilaporkan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
